date,num1,num2,num3,num4,num5
02/22/2021,11,15,19,21,41
02/16/2021,9,18,28,38,41
02/17/2021,2,10,15,34,38
02/18/2021,8,9,12,27,36
02/19/2021,4,6,14,17,23
02/20/2021,15,19,32,39,40
02/21/2021,17,24,32,38,41
02/15/2021,13,16,20,21,29
01/15/2021,6,13,15,30,42
01/16/2021,4,15,21,33,45
01/17/2021,3,24,29,30,43
01/18/2021,18,19,22,27,45
01/19/2021,15,29,31,43,45
01/20/2021,1,18,20,27,40
01/21/2021,14,15,16,43,45
01/22/2021,3,6,39,41,45
01/23/2021,5,16,18,21,29
01/24/2021,1,3,17,27,34
01/25/2021,2,25,33,41,44
01/26/2021,1,10,22,27,31
01/27/2021,17,18,25,27,43
01/28/2021,10,13,15,19,44
01/29/2021,6,7,21,26,34
01/30/2021,5,17,21,30,42
01/31/2021,12,33,34,38,40
02/01/2021,6,13,20,30,34
02/02/2021,2,9,27,40,45
02/03/2021,6,18,20,35,42
02/04/2021,5,9,14,17,43
02/05/2021,4,10,11,26,45
02/06/2021,5,16,18,32,34
02/07/2021,2,5,10,13,19
02/08/2021,25,28,35,36,45
02/09/2021,11,16,22,27,39
02/10/2021,9,18,22,26,40
02/11/2021,3,5,15,17,27
02/12/2021,5,14,20,23,35
02/13/2021,4,6,14,20,30
02/14/2021,23,24,27,31,41
01/13/2021,3,18,29,32,45
01/14/2021,6,8,13,15,33
01/08/2021,10,19,35,38,43
01/09/2021,12,24,26,28,36
01/10/2021,7,19,27,29,30
01/11/2021,8,19,21,29,30
01/12/2021,4,8,10,37,39
01/06/2021,14,20,31,32,36
01/07/2021,10,17,21,30,40
01/04/2021,13,28,33,34,41
01/05/2021,3,7,10,29,45
01/03/2021,2,12,34,35,44
01/02/2021,21,24,30,33,34
01/01/2021,16,17,24,36,39
12/31/2020,2,6,7,37,41
12/30/2020,5,7,13,21,31
12/29/2020,1,3,8,24,39
12/28/2020,4,14,28,30,34
12/27/2020,15,22,24,38,45
